time,USER,SYSTEM,IOW,IRQ
67,28,25,36,1
1065,39,22,32,1
2244,39,22,32,1
3101,39,22,32,1
4101,39,22,32,1
5171,35,20,31,0
6151,35,20,31,0
7154,35,20,31,0
8152,35,20,31,0
9181,32,14,19,0
10201,32,14,19,0
11201,32,14,19,0
12201,32,14,19,0
13283,32,13,19,0
14254,32,13,19,0
15260,32,13,19,0
16261,32,13,19,0
17283,37,18,23,0
18301,37,18,23,0
19301,37,18,23,0
20300,37,18,23,0
21319,30,18,32,0
22301,30,18,32,0
23303,30,18,32,0
24301,30,18,32,0
25329,33,23,16,0
26303,33,23,16,0
27304,33,23,16,0
28307,33,23,16,0
29337,34,18,2,0
